Returned,Order ID,Return Date
Yes,CA-2016-123526,06/01/17
Yes,US-2016-111528,07/01/17
Yes,CA-2016-105081,11/01/17
Yes,CA-2017-127306,31/01/17
Yes,CA-2017-115994,11/02/17
Yes,CA-2017-112725,17/02/17
Yes,CA-2017-109085,25/02/17
Yes,CA-2017-131828,26/02/17
Yes,CA-2017-117212,08/03/17
Yes,CA-2017-117513,15/03/17
Yes,CA-2017-121258,15/03/17
Yes,CA-2017-155712,16/03/17
Yes,CA-2017-123085,17/03/17
Yes,CA-2017-168193,23/03/17
Yes,CA-2017-122007,28/03/17
Yes,CA-2017-143084,01/04/17
Yes,CA-2017-165491,01/04/17
Yes,CA-2017-142867,02/04/17
Yes,CA-2017-140151,05/04/17
Yes,US-2017-147886,06/04/17
Yes,CA-2017-154214,08/04/17
Yes,CA-2017-101700,05/05/17
Yes,CA-2017-128965,06/05/17
Yes,CA-2017-135692,08/05/17
Yes,CA-2017-129707,09/05/17
Yes,CA-2017-136651,09/05/17
Yes,CA-2017-150609,14/05/17
Yes,US-2017-147998,02/06/17
Yes,US-2017-151127,05/06/17
Yes,CA-2017-112865,06/06/17
Yes,CA-2017-167003,09/06/17
Yes,CA-2017-145772,20/06/17
Yes,CA-2017-140963,21/06/17
Yes,CA-2017-119284,26/06/17
Yes,CA-2017-131618,29/06/17
Yes,CA-2017-112753,06/07/17
Yes,CA-2017-137085,13/07/17
Yes,CA-2017-140053,18/07/17
Yes,CA-2017-166142,28/07/17
Yes,CA-2017-145128,28/07/17
Yes,CA-2017-142342,29/07/17
Yes,US-2017-123834,31/07/17
Yes,CA-2017-162015,01/08/17
Yes,US-2017-105046,04/08/17
Yes,US-2017-155999,22/08/17
Yes,US-2017-103828,23/08/17
Yes,US-2017-109253,01/09/17
Yes,CA-2017-161956,03/09/17
Yes,CA-2017-166093,04/09/17
Yes,CA-2017-101273,08/09/17
Yes,CA-2017-169327,14/09/17
Yes,CA-2017-144064,14/09/17
Yes,CA-2017-161557,15/09/17
Yes,CA-2017-154074,16/09/17
Yes,CA-2017-141929,20/09/17
Yes,CA-2017-159954,25/09/17
Yes,CA-2017-165008,26/09/17
Yes,CA-2017-124401,26/09/17
Yes,CA-2017-166898,27/09/17
Yes,US-2017-118087,28/09/17
Yes,CA-2017-108931,28/09/17
Yes,CA-2017-153822,01/10/17
Yes,CA-2017-156391,03/10/17
Yes,CA-2017-100111,04/10/17
Yes,CA-2017-147452,09/10/17
Yes,CA-2017-140186,10/10/17
Yes,CA-2017-137414,11/10/17
Yes,CA-2017-121853,12/10/17
Yes,CA-2017-101574,16/10/17
Yes,US-2017-103247,17/10/17
Yes,CA-2017-131807,22/10/17
Yes,CA-2017-113670,23/10/17
Yes,CA-2017-154949,28/10/17
Yes,CA-2017-131492,01/11/17
Yes,CA-2017-123491,10/11/17
Yes,CA-2017-132346,18/11/17
Yes,CA-2017-122504,18/11/17
Yes,CA-2017-157196,22/11/17
Yes,CA-2017-107825,23/11/17
Yes,US-2017-107888,24/11/17
Yes,US-2017-136679,25/11/17
Yes,CA-2017-111556,27/11/17
Yes,CA-2017-136308,30/11/17
Yes,CA-2017-142888,01/12/17
Yes,CA-2017-138163,02/12/17
Yes,CA-2017-103380,04/12/17
Yes,CA-2017-118122,04/12/17
Yes,CA-2017-161459,10/12/17
Yes,CA-2017-101805,11/12/17
Yes,CA-2017-169894,11/12/17
Yes,CA-2017-156958,13/12/17
Yes,CA-2017-102519,14/12/17
Yes,CA-2017-167395,14/12/17
Yes,CA-2017-152660,14/12/17
Yes,CA-2017-118542,20/12/17
Yes,CA-2017-117926,21/12/17
Yes,CA-2017-108294,23/12/17
Yes,CA-2017-142328,23/12/17
Yes,CA-2017-137099,24/12/17
Yes,CA-2017-158729,28/12/17
Yes,CA-2017-169859,29/12/17
Yes,CA-2017-140585,30/12/17
